Date,Open,High,Low,Close,Volume
22-Nov-16,12.68,12.70,12.43,12.57,170914.00
21-Nov-16,12.68,12.73,12.42,12.52,299632.00
18-Nov-16,12.49,12.52,12.32,12.48,119654.00
17-Nov-16,12.41,12.53,12.33,12.44,104255.00
16-Nov-16,12.49,12.55,12.27,12.39,85887.00
15-Nov-16,12.81,12.82,12.59,12.74,190107.00
14-Nov-16,12.58,12.64,12.42,12.60,323153.00
11-Nov-16,12.48,12.54,12.24,12.50,197176.00
10-Nov-16,12.42,12.68,12.42,12.53,122820.00
9-Nov-16,12.20,12.59,11.99,12.37,148934.00
8-Nov-16,11.95,12.15,11.95,12.13,156194.00
7-Nov-16,11.94,12.11,11.94,12.01,160819.00
4-Nov-16,11.86,11.98,11.78,11.85,121372.00
3-Nov-16,12.07,12.07,11.92,11.99,72245.00
2-Nov-16,12.09,12.10,11.85,12.05,128851.00
1-Nov-16,12.29,12.31,12.08,12.19,82587.00
31-Oct-16,12.36,12.36,12.21,12.25,111124.00
28-Oct-16,12.52,12.53,12.25,12.41,159219.00
27-Oct-16,12.61,12.67,12.45,12.51,121396.00
26-Oct-16,12.51,12.61,12.42,12.60,92008.00
25-Oct-16,12.64,12.66,12.55,12.57,91912.00
24-Oct-16,12.74,12.77,12.63,12.66,135078.00
21-Oct-16,12.69,12.69,12.58,12.67,72077.00
20-Oct-16,12.64,12.68,12.51,12.63,92362.00
19-Oct-16,12.61,12.66,12.53,12.66,91822.00
18-Oct-16,12.55,12.55,12.41,12.52,96549.00
17-Oct-16,12.58,12.58,12.35,12.49,123376.00
14-Oct-16,12.70,12.70,12.45,12.51,129253.00
13-Oct-16,12.59,12.63,12.45,12.60,108502.00
12-Oct-16,12.67,12.77,12.56,12.65,79783.00
11-Oct-16,12.89,12.89,12.56,12.66,125845.00
10-Oct-16,12.76,12.88,12.76,12.84,89505.00
7-Oct-16,12.81,12.83,12.65,12.69,85275.00
6-Oct-16,12.95,12.95,12.71,12.73,63802.00
5-Oct-16,12.90,12.95,12.85,12.89,59674.00
4-Oct-16,12.96,12.98,12.73,12.76,39055.00
3-Oct-16,13.12,13.12,12.94,12.96,100500.00
30-Sep-16,13.13,13.13,12.95,13.07,78309.00
29-Sep-16,13.15,13.18,12.82,12.97,86741.00
28-Sep-16,12.88,13.12,12.68,13.10,71063.00
27-Sep-16,12.84,12.84,12.67,12.77,116726.00
26-Sep-16,13.10,13.10,12.87,12.91,134684.00
23-Sep-16,13.00,13.09,12.88,13.02,94410.00
22-Sep-16,12.96,13.10,12.89,12.99,141433.00
21-Sep-16,12.69,12.90,12.61,12.88,64872.00
20-Sep-16,12.67,12.67,12.53,12.56,53116.00
19-Sep-16,12.64,12.80,12.60,12.62,102024.00
16-Sep-16,12.43,12.57,12.37,12.51,42416.00
15-Sep-16,12.77,12.82,12.47,12.47,93516.00
14-Sep-16,12.53,12.74,12.45,12.69,183683.00
13-Sep-16,12.77,12.77,12.41,12.45,93447.00
12-Sep-16,12.93,13.00,12.83,12.87,92045.00
9-Sep-16,13.09,13.24,12.92,12.94,182260.00
8-Sep-16,13.35,13.44,13.19,13.23,132964.00
7-Sep-16,13.29,13.32,13.20,13.27,68958.00
6-Sep-16,13.06,13.20,13.05,13.19,131539.00
2-Sep-16,13.02,13.12,12.92,13.12,45531.00
1-Sep-16,12.89,12.94,12.76,12.87,97778.00
31-Aug-16,12.93,12.93,12.79,12.89,62416.00
30-Aug-16,13.04,13.04,12.88,12.98,115369.00
29-Aug-16,13.10,13.14,12.94,12.96,117480.00
26-Aug-16,12.99,13.18,12.99,13.15,277410.00
25-Aug-16,13.02,13.09,12.94,13.02,98966.00
24-Aug-16,13.14,13.14,12.92,13.02,162661.00
23-Aug-16,13.09,13.19,12.98,13.12,268282.00
22-Aug-16,12.94,13.04,12.81,13.02,182553.00
19-Aug-16,13.25,13.25,12.96,12.99,96291.00
18-Aug-16,13.14,13.28,13.14,13.24,75064.00
17-Aug-16,13.21,13.33,13.02,13.12,127382.00
16-Aug-16,13.46,13.50,13.30,13.49,221516.00
15-Aug-16,13.32,13.37,13.18,13.37,128698.00
12-Aug-16,13.03,13.24,12.99,13.23,81505.00
11-Aug-16,12.90,12.93,12.77,12.91,54427.00
10-Aug-16,12.96,12.97,12.69,12.76,73346.00
9-Aug-16,13.09,13.09,12.83,12.85,67379.00
8-Aug-16,12.90,13.03,12.89,12.97,98474.00
5-Aug-16,12.71,12.82,12.61,12.80,88970.00
4-Aug-16,12.55,12.77,12.52,12.62,92385.00
3-Aug-16,12.41,12.68,12.41,12.60,124884.00
2-Aug-16,12.49,12.61,12.23,12.38,146350.00
1-Aug-16,12.95,12.96,12.37,12.43,149574.00
29-Jul-16,12.81,13.10,12.76,13.02,36340.00
28-Jul-16,12.97,13.00,12.85,12.93,61480.00
27-Jul-16,12.96,13.05,12.85,12.97,129764.00
26-Jul-16,12.69,12.91,12.69,12.88,72918.00
25-Jul-16,12.92,12.93,12.70,12.80,96930.00
22-Jul-16,12.99,13.09,12.94,12.94,124397.00
21-Jul-16,13.04,13.21,12.90,12.90,124701.00
20-Jul-16,12.84,13.06,12.76,12.98,100838.00
19-Jul-16,13.04,13.04,12.83,12.87,95563.00
18-Jul-16,12.90,13.04,12.86,12.98,55318.00
15-Jul-16,13.10,13.10,12.83,13.04,128705.00
14-Jul-16,13.10,13.20,12.95,13.04,127320.00
13-Jul-16,13.38,13.38,12.89,13.02,122133.00
12-Jul-16,13.26,13.47,13.22,13.34,131129.00
11-Jul-16,13.25,13.25,12.99,13.10,135896.00
8-Jul-16,12.97,13.12,12.71,13.12,119957.00
7-Jul-16,12.83,12.92,12.58,12.78,87059.00
6-Jul-16,12.54,12.72,12.38,12.72,152942.00
5-Jul-16,12.57,12.68,12.43,12.68,99595.00
1-Jul-16,12.84,12.89,12.78,12.84,94710.00
30-Jun-16,12.69,12.80,12.46,12.80,119330.00
29-Jun-16,12.56,12.73,12.52,12.66,129456.00
28-Jun-16,12.20,12.57,12.20,12.37,113969.00
27-Jun-16,12.35,12.36,11.82,11.97,106953.00
24-Jun-16,12.65,12.88,12.36,12.44,100646.00
23-Jun-16,12.89,13.00,12.76,13.00,73270.00
22-Jun-16,12.71,12.85,12.57,12.70,103100.00
21-Jun-16,12.41,12.74,12.37,12.74,134671.00
20-Jun-16,12.59,12.68,12.41,12.47,96227.00
17-Jun-16,12.47,12.52,12.32,12.41,144058.00
16-Jun-16,12.22,12.46,12.08,12.38,152981.00
15-Jun-16,12.35,12.51,12.24,12.41,110212.00
14-Jun-16,12.49,12.61,12.30,12.48,119010.00
13-Jun-16,12.52,12.72,12.46,12.63,181266.00
10-Jun-16,12.95,13.01,12.57,12.68,142486.00
9-Jun-16,12.96,13.14,12.95,13.13,100532.00
8-Jun-16,13.16,13.25,13.00,13.17,164772.00
7-Jun-16,12.95,13.10,12.86,13.07,135332.00
6-Jun-16,12.79,12.94,12.69,12.82,189804.00
3-Jun-16,12.56,12.78,12.50,12.64,169388.00
2-Jun-16,12.56,12.86,12.56,12.69,175583.00
1-Jun-16,12.24,12.81,12.23,12.80,206822.00
31-May-16,12.44,12.71,12.25,12.37,258066.00
27-May-16,12.29,12.45,12.15,12.38,248854.00
26-May-16,12.37,12.49,12.13,12.24,187687.00
25-May-16,12.27,12.43,12.26,12.29,174498.00
24-May-16,12.35,12.45,12.12,12.12,109627.00
23-May-16,12.23,12.39,12.17,12.28,79911.00
20-May-16,12.20,12.32,12.05,12.27,108304.00
19-May-16,11.90,12.15,11.75,12.05,106438.00
18-May-16,12.29,12.30,11.92,12.01,123004.00
17-May-16,12.44,12.64,12.30,12.53,128656.00
16-May-16,12.15,12.42,12.15,12.35,110094.00
13-May-16,12.07,12.44,11.86,11.91,147446.00
12-May-16,12.20,12.33,12.00,12.09,157469.00
11-May-16,11.61,12.02,11.40,11.97,209403.00
10-May-16,11.58,11.90,11.58,11.68,181703.00
9-May-16,11.78,11.78,11.26,11.56,185370.00
6-May-16,11.76,11.95,11.73,11.86,132604.00
5-May-16,11.81,11.98,11.65,11.86,215596.00
4-May-16,11.56,11.63,11.29,11.51,194381.00
3-May-16,11.69,11.69,11.25,11.46,153145.00
2-May-16,12.07,12.08,11.69,11.92,132516.00
29-Apr-16,12.02,12.19,11.88,12.10,72837.00
28-Apr-16,11.98,12.19,11.88,11.90,113807.00
27-Apr-16,11.94,12.22,11.77,12.07,114864.00
26-Apr-16,11.62,11.77,11.50,11.72,189621.00
25-Apr-16,11.74,11.85,11.48,11.54,107616.00
22-Apr-16,11.56,11.80,11.56,11.78,102704.00
21-Apr-16,11.50,11.76,11.44,11.54,138971.00
20-Apr-16,10.97,11.51,10.97,11.40,170187.00
19-Apr-16,10.49,11.07,10.49,11.05,139710.00
18-Apr-16,9.73,10.56,9.73,10.46,197917.00
15-Apr-16,10.32,10.38,10.13,10.14,71532.00
14-Apr-16,10.58,10.58,10.32,10.43,72024.00
13-Apr-16,10.35,10.53,10.29,10.46,99115.00
12-Apr-16,10.06,10.45,10.05,10.36,130386.00
11-Apr-16,10.20,10.34,9.94,10.03,76921.00
8-Apr-16,9.94,10.18,9.90,10.01,117748.00
7-Apr-16,9.56,9.74,9.53,9.63,80523.00
6-Apr-16,9.60,9.72,9.58,9.63,221201.00
5-Apr-16,9.49,9.60,9.45,9.48,97979.00
4-Apr-16,9.85,9.98,9.60,9.60,128562.00
1-Apr-16,10.11,10.11,9.91,9.95,108371.00
31-Mar-16,10.07,10.43,10.07,10.38,90770.00
30-Mar-16,9.94,10.18,9.93,10.09,71876.00
29-Mar-16,9.41,9.78,9.28,9.75,135233.00
28-Mar-16,9.93,9.95,9.56,9.57,110733.00
24-Mar-16,9.99,10.07,9.74,9.80,145359.00
23-Mar-16,10.27,10.49,10.14,10.15,173096.00
22-Mar-16,10.27,10.59,10.27,10.54,64185.00
21-Mar-16,10.61,10.65,10.36,10.41,78846.00
18-Mar-16,10.60,10.78,10.45,10.78,143696.00
17-Mar-16,10.50,10.75,10.34,10.57,98817.00
16-Mar-16,9.76,10.40,9.76,10.24,163429.00
15-Mar-16,9.81,9.96,9.61,9.79,168329.00
14-Mar-16,9.94,10.07,9.78,10.04,82690.00
11-Mar-16,10.16,10.28,10.05,10.05,106001.00
10-Mar-16,10.15,10.15,9.86,9.89,85027.00
9-Mar-16,10.08,10.24,10.00,10.09,92261.00
8-Mar-16,10.52,10.52,9.96,9.98,140756.00
7-Mar-16,10.28,10.75,10.28,10.75,99259.00
4-Mar-16,10.46,10.74,10.27,10.41,185665.00
3-Mar-16,9.92,10.44,9.92,10.26,123977.00
2-Mar-16,9.53,10.14,9.53,10.06,136456.00
1-Mar-16,9.60,9.71,9.40,9.67,140807.00
29-Feb-16,9.26,9.71,9.26,9.46,171345.00
26-Feb-16,9.42,9.60,9.10,9.25,186806.00
25-Feb-16,8.89,9.12,8.77,9.12,184087.00
24-Feb-16,8.69,9.04,8.50,8.94,191129.00
23-Feb-16,9.22,9.25,8.92,8.92,139118.00
22-Feb-16,8.91,9.33,8.85,9.24,110896.00
19-Feb-16,8.62,8.73,8.34,8.64,93143.00
18-Feb-16,8.91,8.93,8.49,8.71,166061.00
17-Feb-16,8.05,8.58,8.00,8.58,164100.00
16-Feb-16,7.58,8.26,7.58,8.25,163758.00
12-Feb-16,7.02,7.47,6.85,7.43,252299.00
11-Feb-16,6.84,7.35,6.58,6.84,270695.00
10-Feb-16,7.16,7.49,6.94,7.19,227132.00
9-Feb-16,7.57,7.72,7.11,7.17,349709.00
8-Feb-16,8.92,9.09,8.02,8.02,351996.00
5-Feb-16,9.86,9.95,9.22,9.30,172924.00
4-Feb-16,9.50,10.21,9.32,9.99,221343.00
3-Feb-16,9.52,9.66,9.04,9.53,224444.00
2-Feb-16,9.09,9.36,8.95,9.30,274306.00
1-Feb-16,9.50,9.62,9.25,9.62,158326.00
29-Jan-16,9.55,9.90,9.51,9.75,143707.00
28-Jan-16,9.25,9.52,9.20,9.40,315798.00
27-Jan-16,8.87,9.15,8.65,8.76,209210.00
26-Jan-16,8.42,9.06,8.33,8.99,349374.00
25-Jan-16,8.18,8.91,8.14,8.30,352903.00
22-Jan-16,7.64,8.40,7.57,8.32,316087.00
21-Jan-16,7.06,7.42,6.96,7.24,673257.00
20-Jan-16,7.51,7.60,6.58,7.06,812600.00
19-Jan-16,8.88,8.92,7.92,8.07,275766.00
15-Jan-16,8.92,9.10,8.64,8.78,151290.00
14-Jan-16,8.86,9.29,8.54,9.28,211420.00
13-Jan-16,9.67,9.90,8.75,8.87,310024.00
12-Jan-16,10.19,10.36,9.26,9.57,338716.00
11-Jan-16,10.73,10.73,9.86,10.00,198301.00
8-Jan-16,10.78,11.02,10.64,10.70,319217.00
7-Jan-16,11.35,11.54,10.87,10.90,231975.00
6-Jan-16,12.30,12.36,11.48,11.65,169412.00
5-Jan-16,12.72,12.80,12.30,12.55,183818.00
4-Jan-16,12.23,12.76,12.08,12.69,257719.00
31-Dec-15,11.33,12.58,11.23,12.31,590145.00
30-Dec-15,11.36,11.79,11.28,11.54,665906.00
29-Dec-15,11.88,11.94,11.55,11.71,666427.00
28-Dec-15,12.12,12.15,11.55,11.66,437426.00
24-Dec-15,12.21,12.42,12.04,12.34,161513.00
23-Dec-15,11.41,12.23,11.36,12.13,651432.00
22-Dec-15,10.25,11.37,10.25,11.09,460306.00
21-Dec-15,9.97,10.26,9.87,10.23,400981.00
18-Dec-15,10.10,10.29,9.88,9.98,430362.00
17-Dec-15,10.51,10.51,10.19,10.23,625628.00
16-Dec-15,10.31,10.60,10.25,10.46,487878.00
15-Dec-15,10.36,10.46,10.09,10.43,425337.00
14-Dec-15,10.50,10.54,10.11,10.22,629067.00
11-Dec-15,11.09,11.16,10.44,10.55,457575.00
10-Dec-15,11.26,11.85,11.26,11.33,386958.00
9-Dec-15,11.23,11.77,11.17,11.29,522725.00
8-Dec-15,10.94,11.89,10.85,11.18,518537.00
7-Dec-15,12.35,12.35,10.97,11.67,767994.00
4-Dec-15,13.18,13.22,12.67,12.69,451841.00
3-Dec-15,13.61,13.73,13.31,13.31,248430.00
2-Dec-15,14.08,14.11,13.63,13.68,322871.00
1-Dec-15,14.17,14.32,13.96,14.20,280191.00
30-Nov-15,14.39,14.55,14.09,14.21,333179.00
27-Nov-15,14.42,14.50,14.28,14.37,108944.00
25-Nov-15,14.09,14.49,14.03,14.28,252096.00
24-Nov-15,13.64,14.32,13.60,14.25,442920.00
23-Nov-15,13.97,14.01,13.48,13.57,248727.00
20-Nov-15,14.19,14.34,13.68,13.72,274938.00
19-Nov-15,14.50,14.50,14.11,14.17,209209.00
18-Nov-15,14.31,14.64,14.02,14.53,158213.00
17-Nov-15,15.00,15.07,14.55,14.64,233159.00
16-Nov-15,14.50,15.11,14.47,15.06,179998.00
13-Nov-15,14.17,14.80,14.01,14.57,230651.00
12-Nov-15,14.42,14.55,14.03,14.20,226498.00
11-Nov-15,14.94,15.02,14.54,14.62,177389.00
10-Nov-15,14.81,15.08,14.77,14.94,250781.00
9-Nov-15,15.10,15.42,14.97,15.04,163707.00
6-Nov-15,15.29,15.38,15.01,15.27,177645.00
5-Nov-15,15.77,16.00,15.20,15.36,190740.00
4-Nov-15,16.26,16.26,15.77,15.93,168345.00
3-Nov-15,15.94,16.34,15.85,16.27,230087.00
2-Nov-15,15.60,16.05,15.60,15.97,252100.00
30-Oct-15,15.28,15.83,15.03,15.72,140250.00
29-Oct-15,15.10,15.59,15.10,15.29,188347.00
28-Oct-15,14.69,15.41,14.65,15.31,148874.00
27-Oct-15,14.88,14.97,14.58,14.69,190707.00
26-Oct-15,15.44,15.57,15.01,15.08,179014.00
23-Oct-15,15.80,15.87,15.50,15.61,101394.00
22-Oct-15,15.96,16.20,15.60,15.81,190198.00
21-Oct-15,16.20,16.21,15.87,15.89,130611.00
20-Oct-15,16.07,16.32,15.95,16.21,188787.00
19-Oct-15,16.00,16.14,15.79,16.09,181700.00
