AEP	"[u'AEP', u'AET', u'AIG', u'AIZ', u'AKAM', u'ALB', u'ALL', u'ALXN', u'AMD', u'AMG', u'AMP', u'AMZN', u'AES', u'AIV', u'AKS', u'ALTR', u'AME', u'AMT', u'AFL', u'ALK', u'AMGN', u'AJG', u'AMAT']"									
AES						0	0	0	0	0
AET										
AFL										
AGN										
AIG										
AIV										
AIZ										
AJG										
AKAM										
AKS										
ALB										
ALK										
ALL										
ALLE										
ALTR										
ALXN										
AMAT										
AMD										
AME										
AMG										
AMGN										
AMP										
AMT										
AMZN										
AN										
ANF										
ANR										
ANTM										
AON										
APA										
APC										
APD										
APOL										
ARG										
ARNC										
ATI										
ATVI										
AV										
AVB										
AVGO										
AVP										
AVY										
AWK										
AXP										
AYI										
AZO										
BA										
BAC										
BAX										
BBBY										
BBT										
BBY										
BCR										
BDX										
BEN										
BF-B										
BHI										
BIG										
BIIB										
BK										
BLK										
BLL										
BMC										
BMS										
BMY										
BRCM										
BRK-B										
BSX										
BTU										
BWA										
BXLT										
BXP										
FB										
FBHS										
FCX										
FDO										
FDX										
FE										
FFIV										
FHN										
FII										
FIS										
FISV										
FITB										
FL										
FLIR										
FLR										
FLS										
FMC										
FOSL										
FOX										
FOXA										
FRT										
FSLR										
FTI										
FTR										
FTV										
GAS										
GD										
GE										
GGP										
GHC										
GILD										
GIS										
GLW										
GM										
GMCR										
GME										
GNW										
GOOG										
GOOGL										
GPC										
GPN										
GPS										
GR										
GRA										
GRMN										
GS										
GT										
GWW										
HAL										
HAR										
HAS										
HBAN										
HBI										
HCA										
HCBK										
HCN										
HCP										
HD										
HES										
HIG										
HNZ										
HOG										
HOLX										
HON										
HOT										
HP										
HPE										
HPQ										
HRB										
HRL										
HRS										
HSIC										
HSP										
HST										
HSY										
HUM										
IBM										
ICE										
IDXX										
IFF										
ILMN										
INTC										
INTU										
IP										
IPG										
IR										
IRM										
ISRG										
ITT										
ITW										
IVZ										
JBHT										
JBL										
JCI										
JCP										
JDSU										
JEC										
JNJ										
JNPR										
JNS										
JOY										
JPM										
JWN										
K										
KEY										
KFT										
KHC										
KIM										
KLAC										
KMB										
KMI										
KMX										
KO										
KORS										
KR										
KRFT										
KSS										
KSU										
L										
LB										
LEG										
LEN										
LH										
LIFE										
LKQ										
LLL										
LLTC										
LLY										
LM										
LNC										
LNT										
LO										
LOW										
LRCX										
LUK										
LUV										
LVLT										
LXK										
LYB										
M										
MA										
MAA										
MAC										
MAR										
MAS										
MAT										
MCD										
MCHP										
MCK										
MCO										
MDLZ										
MDT										
MEE										
MET										
MHFI										
MHK										
MKC										
MLM										
MMC										
MMI										
MMM										
MNK										
MNST										
MO										
MON										
MOS										
MPC										
MRK										
MS										
MSFT										
MSI										
MTB										
MTD										
MU										
MUR										
MWW										
MYL										
NAVI										
NBR										
NDAQ										
NE										
NEE										
NEM										
NFLX										
NFX										
NI										
NKE										
NLSN										
NOC										
NOV										
NRG										
NSC										
NSM										
NTAP										
NTRS										
NUE										
NVDA										
NVLS										
NWS										
NWSA										
NYT										
O										
ODP										
OI										
OKE										
OMC										
ORCL										
ORLY										
OXY										
PAYX										
PBCT										
PBI										
PCAR										
PCG										
PCL										
PCLN										
PCP										
PCS										
PDCO										
PEG										
PEP										
PETM										
PFE										
PFG										
PG										
PGR										
PH										
PHM										
PKI										
PLD										
PLL										
PM										
PNC										
PNR										
PNW										
POM										
PPG										
PPL										
PRGO										
PRU										
PSA										
PSX										
PVH										
PWR										
PX										
PXD										
PYPL										
Q										
QCOM										
QEP										
QRVO										
R										
RAI										
RCL										
RDC										
REGN										
RF										
RHI										
RHT										
RIG										
RL										
ROK										
ROP										
ROST										
RRC										
RRD										
RSG										
RSH										
RTN										
S										
SAIC										
SBR										
SBUX										
SCG										
SCHW										
SE										
SEE										
SGP										
SHLD										
SHW										
SIAL										
SIG										
SJM										
SLB										
SLE										
SLG										
SNA										
SNDK										
SNI										
SO										
SPG										
SPGI										
SPLS										
SRCL										
SRE										
STI										
STJ										
STR										
STT										
STX										
STZ										
SUN										
SVU										
SWK										
SWKS										
SWN										
SWY										
SYF										
SYK										
SYMC										
SYY										
T										
TAP										
TDC										
TDG										
TE										
TEG										
TEL										
TER										
TGNA										
TGT										
THC										
TIF										
TJX										
TMK										
TMO										
TRIP										
TROW										
TRV										
TSCO										
TSN										
TSO										
TSS										
TWC										
TWX										
TXN										
TXT										
TYC										
UA										
UAA										
UAL										
UDR										
UHS										
ULTA										
UNH										
UNM										
UNP										
UPS										
URBN										
URI										
USB										
UTX										
V										
VAR										
VFC										
VIAB										
VLO										
VMC										
VNO										
VRSK										
VRSN										
VRTX										
VTR										
VZ										
WAT										
WBA										
WDC										
WEC										
WFC										
WFM										
WFR										
WHR										
WIN										
WLTW										
WM										
WMB										
WMT										
WPX										
WRK										
WU										
WY										
WYN										
WYNN										
X										
XEC										
XEL										
XL										
XLNX										
XOM										
XRAY										
XRX										
XYL										
YHOO										
YUM										
ZBH										
ZION										
ZTS										
