,Daily Returns,Total Returns,Funds,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AEG Position,AEG Order,AEG Filled Order,AEG Trade Price,AEG Cost to Trade,AEG PnL,AIN Position,AIN Order,AIN Filled Order,AIN Trade Price,AIN Cost to Trade,AIN PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL
2016-11-04,-0.07450545,-47.4132439,529250.101,525867.561,0,0.0,0,43.69,0.0,0.0,-1976,119.0,119,108.53,23.2645,2087.6755,0,0.0,0,4.25,0.0,-0.0,0,0.0,0,38.8,0.0,0.0,-8147,-502.0,-502,31.55,62.75,-2832.73
2016-11-03,0.1678078,-47.33873845,526114.6155,526612.6155,0,0.0,0,43.33,0.0,0.0,-2095,67.0,67,110.98,10.452,3717.618,0,0.0,0,4.31,0.0,0.0,0,0.0,0,38.7,0.0,-0.0,-7645,-384.0,-384,31.3,55.68,-2039.54
2016-11-02,0.4799718,-47.50654625,521351.7675,524934.5375,0,0.0,0,43.47,0.0,-0.0,-2162,72.0,72,111.4,18.864,-228.584,0,0.0,0,4.29,0.0,-0.0,0,0.0,0,38.55,0.0,0.0,-7261,-432.0,-432,31.84,57.888,5028.302
2016-11-01,0.5763014,-47.98651805,513002.2395,520134.8195,0,0.0,0,43.73,0.0,0.0,-2234,88.0,88,113.46,13.332,4573.408,0,0.0,0,4.37,0.0,0.0,0,0.0,0,40.5,0.0,-0.0,-6829,-268.0,-268,32.4,32.964,1189.606
2016-10-31,-0.1829377,-48.56281945,515691.0255,514371.8055,0,0.0,0,43.33,0.0,0.0,-2322,85.0,85,113.65,15.98,407.93,0,0.0,0,4.34,0.0,0.0,0,0.0,0,40.2,0.0,0.0,-6561,-398.0,-398,31.93,46.367,-2237.307
2016-10-28,0.279214,-48.37988175,515100.5725,516201.1825,0,0.0,0,43.38,0.0,0.0,-2407,70.0,70,113.87,13.16,1858.86,0,0.0,0,4.39,0.0,-0.0,0,0.0,0,40.35,0.0,-0.0,-6163,-330.0,-330,31.95,39.6,933.28
2016-10-27,0.2499583,-48.65909575,511096.6425,513409.0425,0,0.0,0,43.97,0.0,0.0,-2477,11.0,11,115.39,2.4145,2749.2555,0,0.0,0,4.38,0.0,0.0,0,0.0,0,40.75,0.0,0.0,-5833,-211.0,-211,32.0,26.9025,-249.6725
2016-10-26,0.64605895,-48.90905405,515274.7195,510909.4595,0,0.0,0,43.42,0.0,-0.0,-2488,2.0,2,114.31,0.305,6625.655,0,0.0,0,4.32,0.0,0.0,0,0.0,0,41.2,0.0,-0.0,-5622,79.0,79,31.74,10.6255,-165.0655
2016-10-25,-0.1754289,-49.555113,504169.69,504448.87,0,0.0,0,45.26,0.0,-0.0,-2490,-21.0,-21,117.95,2.877,-1490.577,0,0.0,0,4.28,0.0,0.0,0,0.0,0,41.95,0.0,-0.0,-5701,271.0,271,32.1,35.772,-263.712
2016-10-24,-0.4800349,-49.3796841,508695.789,506203.159,0,0.0,0,45.88,0.0,0.0,-2469,-76.0,-76,117.1,9.994,-2564.444,0,0.0,0,4.29,0.0,0.0,0,0.0,0,41.65,0.0,0.0,-5972,290.0,290,31.7,36.685,-2235.905
