,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,AIG Position,AIG Order,AIG Filled Order,AIG Trade Price,AIG Cost to Trade,AIG PnL,AIR Position,AIR Order,AIR Filled Order,AIR Trade Price,AIR Cost to Trade,AIR PnL,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL
2016-11-04,-0.038983,-26.8173936,365838.134,368522.11,734360.244,-1672,-9,0,108.53,0.0,1655.28,0,0,0,58.23,0.0,0.0,-5929,-234,-234,31.55,29.25,-2045.11,0,0,0,43.69,0.0,0.0
2016-11-03,0.14118,-26.7784106,367904.784,363812.06,731716.844,-1672,-99,0,110.98,0.0,2942.72,0,0,0,58.14,0.0,0.0,-5695,-372,-372,31.3,53.94,-1530.92,0,0,0,43.33,0.0,0.0
2016-11-02,0.3576698,-26.9195906,372449.004,355745.12,728194.124,-1672,206,206,111.4,53.972,-202.632,0,0,0,60.63,0.0,-0.0,-5323,446,0,31.84,0.0,3779.33,0,0,0,43.47,0.0,-0.0
2016-11-01,0.475481,-27.2772604,335855.456,385543.08,721398.536,-1878,188,0,113.46,0.0,3849.9,0,0,0,61.77,0.0,0.0,-5323,836,0,32.4,0.0,904.91,0,0,0,43.73,0.0,0.0
2016-10-31,-0.147178,-27.7527414,340145.436,383398.09,723543.526,-1878,125,0,113.65,0.0,338.04,0,0,0,61.55,0.0,0.0,-5323,955,0,31.93,0.0,-1809.82,0,0,0,43.33,0.0,0.0
2016-10-28,0.227896,-27.6055634,339106.196,383917.71,723023.906,-1878,77,0,113.87,0.0,1427.28,0,0,0,61.64,0.0,0.0,-5323,1254,0,31.95,0.0,851.68,0,0,0,43.38,0.0,0.0
2016-10-27,0.187166,-27.8334594,332864.776,387038.42,719903.196,-1878,42,0,115.39,0.0,2084.58,0,0,0,61.44,0.0,0.0,-5323,1467,0,32.0,0.0,-212.92,0,0,0,43.97,0.0,0.0
2016-10-26,0.483579,-28.0206254,339689.216,383626.2,723315.416,-1878,25,0,114.31,0.0,4995.48,0,0,0,60.3,0.0,0.0,-5323,1597,0,31.74,0.0,-159.69,0,0,0,43.42,0.0,-0.0
2016-10-25,-0.128649,-28.5042044,322184.816,392378.4,714563.216,-1878,117,0,117.95,0.0,-1126.8,0,0,0,60.3,0.0,0.0,-5323,1666,0,32.1,0.0,-159.69,0,0,0,45.26,0.0,-0.0
2016-10-24,-0.388818,-28.3755554,329635.816,388652.9,718288.716,-1878,103,0,117.1,0.0,-1971.9,0,0,0,60.28,0.0,0.0,-5323,1410,0,31.7,0.0,-1916.28,0,0,0,45.88,0.0,0.0
2016-10-21,0.128972,-27.9867374,335835.136,385553.24,721388.376,-1878,142,0,116.81,0.0,863.88,0,0,0,59.53,0.0,0.0,-5323,1134,0,31.22,0.0,425.84,0,0,0,45.67,0.0,-0.0
2016-10-20,0.075144,-28.1157094,332985.836,386977.89,719963.726,-1878,217,0,116.86,0.0,112.68,0,0,0,60.49,0.0,-0.0,-5323,1053,0,31.47,0.0,638.76,0,0,0,46.0,0.0,0.0
2016-10-19,0.087022,-28.1908534,326197.996,390371.81,716569.806,-1878,270,0,117.25,0.0,657.3,0,0,0,60.46,0.0,0.0,-5323,1120,0,31.97,0.0,212.92,0,0,0,45.41,0.0,0.0
2016-10-18,-0.011591,-28.2778754,321320.936,392810.34,714131.276,-1878,277,0,118.18,0.0,150.24,0,0,0,60.71,0.0,0.0,-5323,958,0,32.1,0.0,-266.15,0,0,0,45.7,0.0,0.0
2016-10-17,-0.522599,-28.2662844,339417.936,383761.84,723179.776,-1878,273,0,117.33,0.0,150.24,0,0,0,60.03,0.0,0.0,-5323,551,0,30.7,0.0,-5376.23,0,0,0,45.08,0.0,0.0
2016-10-14,0.011005,-27.7436854,332242.056,387349.78,719591.836,-1878,311,0,117.88,0.0,-1220.7,0,0,0,60.14,0.0,0.0,-5323,561,0,31.18,0.0,1330.75,0,0,0,45.38,0.0,0.0
2016-10-13,0.35505,-27.7546904,336123.176,385409.22,721532.396,-1878,303,0,116.79,0.0,676.08,0,0,0,59.8,0.0,-0.0,-5323,517,0,31.2,0.0,2874.42,0,0,0,44.84,0.0,0.0
2016-10-12,-0.397586,-28.1097404,333593.976,386673.82,720267.796,-1878,340,0,117.35,0.0,-1953.12,0,0,0,60.09,0.0,0.0,-5323,509,0,31.24,0.0,-2022.74,0,0,0,45.78,0.0,0.0
2016-10-11,0.096771,-27.7121544,330363.096,388289.26,718652.356,-1878,340,0,117.7,0.0,-469.5,0,0,0,60.11,0.0,-0.0,-5323,498,0,31.42,0.0,1437.21,0,0,0,47.19,0.0,-0.0
2016-10-10,-0.35243,-27.8089254,336915.996,385012.81,721928.806,-1878,295,0,115.02,0.0,-3737.22,0,0,0,60.33,0.0,0.0,-5323,489,0,31.75,0.0,212.92,0,0,0,47.58,0.0,0.0
2016-10-07,0.2573795,-27.4564954,336388.956,385276.33,721665.286,-1878,85,0,114.31,0.0,-319.26,0,0,0,60.0,0.0,0.0,-5323,-1171,-1171,32.05,158.085,2893.055,0,0,0,47.33,0.0,0.0
2016-10-06,-0.3137553,-27.7138749,379192.111,345188.52,724380.631,-1878,474,0,113.7,0.0,-1577.52,0,1519,1519,59.96,223.293,-314.433,-4152,44,0,31.71,0.0,-1245.6,0,0,0,47.01,0.0,0.0
2016-10-05,-0.291724,-27.4001196,293104.544,433883.57,726988.114,-1878,440,0,113.4,0.0,-93.9,-1519,1486,0,59.39,0.0,-1245.58,-4152,3,0,31.48,0.0,-1577.76,0,0,0,47.04,0.0,0.0
2016-10-04,-0.2639904,-27.1083956,300099.164,430386.26,730485.424,-1878,448,0,113.06,0.0,-901.44,-1519,1375,0,58.82,0.0,-243.04,-4152,-8,-8,31.0,1.104,-1495.424,0,0,0,47.07,0.0,-0.0
2016-10-03,0.31666,-26.8444052,299046.968,430788.91,729835.878,-1878,441,0,112.71,0.0,995.34,-1519,1246,0,59.19,0.0,637.98,-4144,124,0,31.18,0.0,1533.28,0,0,0,46.82,0.0,0.0
2016-09-30,-0.85411345,-27.1610652,310121.828,425251.48,735373.308,-1878,379,0,112.46,0.0,-1633.86,-1519,1072,0,58.8,0.0,-1427.86,-4144,-381,-381,30.1,47.4345,-5479.4145,0,0,0,46.5,0.0,0.0
