,Daily Returns,Total Returns,Funds,Margin,Portfolio Value,A Position,A Order,A Filled Order,A Trade Price,A Cost to Trade,A PnL,AAPL Position,AAPL Order,AAPL Filled Order,AAPL Trade Price,AAPL Cost to Trade,AAPL PnL,IBM Position,IBM Order,IBM Filled Order,IBM Trade Price,IBM Cost to Trade,IBM PnL,GOOG Position,GOOG Order,GOOG Filled Order,GOOG Trade Price,GOOG Cost to Trade,GOOG PnL,C Position,C Order,C Filled Order,C Trade Price,C Cost to Trade,C PnL
2016-11-04,0.1078899,23.2718015,607038.775,608996.96,1239892.185,129,35,35,43.69,4.935,79.155,-1157,-35,-35,108.53,6.8425,1093.0875,119,17,17,152.4,3.349,3.281,-596,-14,-14,750.66,9.044,-104.064,-749,-33,-33,48.11,4.9005,7.4395
2016-11-03,0.606996,23.1639116,601673.216,605806.54,1227125.536,94,32,32,43.33,3.984,31.376,-1122,-8,-8,110.98,1.248,1968.592,102,16,16,152.51,2.936,30.944,-582,-13,-13,767.25,13.13,3791.76,-716,-24,-24,48.53,3.072,247.288
2016-11-02,0.85305175,22.5569156,604015.856,600547.36,1220313.036,62,23,23,43.47,3.4155,-17.2155,-1114,3,3,111.4,0.786,-111.916,86,8,8,152.48,1.668,-71.428,-569,-3,-3,778.2,2.3925,8465.1675,-692,-23,-23,48.63,3.7605,265.9095
2016-11-01,0.28430665,21.70386385,598425.0385,602899.16,1214937.9285,39,16,16,43.73,2.016,-7.696,-1117,4,4,113.46,0.606,2289.564,78,7,7,153.5,1.2495,-70.1195,-566,-16,-16,782.89,11.888,488.092,-669,-24,-24,49.4,3.264,143.226
2016-10-31,0.648653,21.4195572,598773.662,596992.45,1207680.212,23,18,18,43.33,2.484,3.586,-1121,25,25,113.65,4.7,198.83,71,5,5,152.76,1.065,74.865,-550,-11,-11,795.47,13.145,5944.455,-645,-16,-16,49.74,2.536,264.794
2016-10-28,0.1069977,20.7709042,592355.292,597633.09,1200276.742,5,23,23,43.38,3.266,-4.066,-1146,-9,-9,113.87,1.692,863.778,66,11,11,154.05,2.222,-58.762,-539,-4,-4,808.35,2.798,38.422,-629,-25,-25,49.98,3.375,230.605
2016-10-27,0.334456,20.6639065,602983.045,590918.17,1202335.465,-18,20,20,43.97,2.58,-14.76,-1137,52,52,115.39,11.414,1261.056,55,6,6,152.82,1.404,77.236,-535,4,4,801.0,2.532,1979.948,-604,16,16,50.32,2.28,41.08
2016-10-26,0.7305485,20.3294505,591186.895,602729.21,1201354.795,-38,17,17,43.42,3.757,3.093,-1189,-57,-57,114.31,8.6925,2929.4675,49,17,17,150.71,2.8305,45.6295,-539,-20,-20,806.34,13.54,4595.26,-620,-17,-17,49.27,2.125,-267.965
2016-10-25,0.2210322,19.598902,597080.23,589708.09,1191616.48,-55,12,12,45.26,1.386,134.394,-1132,14,14,117.95,1.918,-685.318,32,26,26,150.69,4.056,2.744,-519,14,14,816.68,8.652,2764.728,-603,7,7,49.49,0.826,-6.226
2016-10-24,-0.8629472,19.3778698,601060.638,596672.46,1198636.518,-67,6,6,45.88,0.714,-21.334,-1146,-4,-4,117.1,0.526,-1201.826,6,21,21,150.4,3.7695,-14.2995,-533,10,10,804.9,3.75,-7382.47,-610,9,9,49.82,1.1925,-9.5425
2016-10-21,-0.071603,20.240817,603780.25,601048.96,1204829.21,-73,19,19,45.67,2.4415,39.8185,-1142,-23,-23,116.81,3.5075,516.0625,-15,26,26,150.58,5.044,47.746,-543,-5,-5,795.0,2.485,-1315.535,-619,-16,-16,49.07,2.152,-4.122
2016-10-20,0.24351045,20.31242,596828.66,603200.6,1200029.26,-92,21,21,46.0,2.9505,-5.2905,-1119,-42,-42,116.86,12.516,43.704,-41,32,32,151.28,5.792,-17.092,-538,-6,-6,803.3,2.697,2477.163,-603,-20,-20,49.46,2.68,-63.38
2016-10-19,-0.3467035,20.06890955,606192.4555,596076.94,1202269.3955,-113,23,23,45.41,2.944,-67.794,-1077,-19,-19,117.25,2.622,370.148,-73,31,31,151.27,8.0755,-64.5455,-532,15,15,798.86,13.5375,-3419.1375,-583,-9,-9,49.11,1.116,-285.706
2016-10-18,-0.80925675,20.41561305,601351.6105,606034.99,1207386.6005,-136,25,25,45.7,3.0875,-56.2775,-1058,-28,-28,118.18,4.284,97.996,-104,11,11,150.02,1.9525,471.4975,-547,2,2,787.85,1.035,-8385.915,-574,-9,-9,49.18,1.2285,-219.8685
2016-10-17,-0.077747,21.2248698,611183.778,601433.08,1212616.858,-161,28,28,45.08,3.556,-14.826,-1030,-20,-20,117.33,3.04,73.36,-115,19,19,154.45,3.268,-40.068,-549,8,8,779.8,3.98,-799.21,-565,-12,-12,48.59,2.136,3.274
2016-10-14,-0.096564,21.3026168,599286.528,611142.45,1210428.978,-189,22,22,45.38,2.816,7.464,-1010,-44,-44,117.88,8.184,-625.084,-134,14,14,154.47,2.765,-111.085,-557,-11,-11,781.65,5.621,-156.941,-553,2,2,49.6,0.314,-79.994
2016-10-13,0.50411795,21.3991808,614726.998,598169.7,1212896.698,-211,26,26,44.84,3.12,78.67,-966,-7,-7,116.79,1.1305,342.7795,-148,21,21,153.7,4.0845,92.6655,-546,13,13,781.22,5.2455,4399.4145,-555,0,0,47.92,0.0,127.65
2016-10-12,-0.23807235,20.89506285,595054.5885,614878.63,1209933.2185,-237,10,10,45.78,1.885,49.355,-959,-57,-57,117.35,12.7965,-950.3065,-169,10,10,154.97,2.53,80.17,-559,-22,-22,783.76,15.07,-1716.02,-555,-29,-29,48.97,4.292,156.078
2016-10-11,0.2419,21.1331352,613036.722,594233.7,1207270.422,-247,19,19,47.19,2.47,501.03,-902,32,32,117.7,6.448,-284.748,-179,18,18,156.73,3.447,400.943,-537,23,23,786.66,17.8365,1506.7935,-526,3,3,49.28,0.3885,294.9815
2016-10-10,-0.83989345,20.8912352,601982.342,612638.77,1214621.112,-266,8,8,47.58,1.0,-85.06,-934,-29,-29,115.02,4.4225,-1835.2425,-197,11,11,156.71,2.662,-280.052,-560,-12,-12,777.71,6.546,-6056.586,-529,-19,-19,49.46,2.584,-141.994
2016-10-07,0.0893883,21.73112865,613078.1665,601347.77,1214425.9365,-274,17,17,47.33,2.1675,-24.5975,-905,11,11,114.31,1.7655,-160.2355,-208,15,15,157.14,2.655,245.125,-548,11,11,779.66,3.817,940.823,-510,2,2,49.0,0.272,-107.232
2016-10-06,-0.1159848,21.64174035,602344.9835,613266.39,1215611.3735,-291,13,13,47.01,1.547,-43.377,-916,-30,-30,113.7,4.455,-754.395,-223,7,7,156.84,1.0885,45.1915,-559,-12,-12,779.0,5.052,-192.702,-512,-13,-13,48.83,1.8655,-214.5655
2016-10-05,-0.08347355,21.75772515,614930.5515,601138.22,1216068.7715,-304,27,27,47.04,3.5505,-106.5005,-886,5,5,113.4,0.92,-47.22,-230,17,17,157.07,4.0035,-156.9735,-547,14,14,779.31,5.474,-67.674,-499,17,17,48.01,2.8475,-456.3675
2016-10-04,-0.2541425,21.8411987,603622.467,614917.55,1218540.017,-331,11,11,47.07,1.3255,102.0545,-891,-34,-34,113.06,4.709,-414.029,-247,3,3,157.67,0.5025,283.3675,-561,-10,-10,776.03,4.28,-2140.65,-516,-12,-12,47.1,1.488,-372.168
2016-10-03,0.34981065,22.0953412,617431.632,602429.74,1219861.372,-342,21,21,46.82,3.171,-14.601,-857,3,3,112.71,0.5355,454.6945,-250,15,15,158.06,2.835,319.015,-551,12,12,774.25,5.31,2637.4,-504,21,21,47.02,3.612,101.598
2016-09-30,-0.3211165,21.74553055,602075.9655,617100.64,1219176.6055,-363,14,14,46.5,2.191,-250.291,-860,-49,-49,112.46,9.8,-744.28,-265,1,1,158.9,0.477,-197.367,-563,-19,-19,776.33,12.8915,-1271.4515,-525,-9,-9,46.33,1.7955,-747.7755
2016-09-29,0.58685595,22.06664705,614519.8205,600958.35,1215478.1705,-377,33,33,47.05,4.521,290.059,-811,-4,-4,113.16,0.642,1431.668,-266,19,19,158.63,4.1705,37.2495,-544,13,13,781.44,5.746,3559.014,-516,22,22,46.8,3.091,550.569
