Date,Open,High,Low,Close,Volume
30-Dec-16,0.40,0.44,0.40,0.44,0
29-Dec-16,0.42,0.42,0.40,0.40,0
28-Dec-16,0.42,0.42,0.42,0.42,0
23-Dec-16,0.50,0.50,0.50,0.50,0
22-Dec-16,0.45,0.45,0.45,0.45,0
21-Dec-16,0.50,0.52,0.45,0.45,0
20-Dec-16,0.47,0.47,0.47,0.47,0
19-Dec-16,0.47,0.48,0.40,0.42,0
16-Dec-16,0.38,0.47,0.35,0.47,0
15-Dec-16,0.38,0.38,0.38,0.38,0
14-Dec-16,0.40,0.42,0.36,0.37,0
13-Dec-16,0.44,0.44,0.40,0.40,0
12-Dec-16,0.44,0.45,0.40,0.43,0
9-Dec-16,0.44,0.44,0.44,0.44,0
8-Dec-16,0.49,0.49,0.49,0.49,0
7-Dec-16,0.60,0.60,0.40,0.40,0
6-Dec-16,0.40,0.53,0.40,0.45,0
5-Dec-16,0.49,0.49,0.40,0.40,0
2-Dec-16,0.50,0.55,0.45,0.49,0
1-Dec-16,0.40,0.40,0.40,0.40,0
30-Nov-16,0.45,0.45,0.45,0.45,0
29-Nov-16,0.40,0.45,0.40,0.40,0
28-Nov-16,0.45,0.45,0.40,0.40,0
25-Nov-16,0.45,0.47,0.40,0.40,0
24-Nov-16,0.40,0.40,0.40,0.40,0
23-Nov-16,0.40,0.47,0.40,0.47,0
22-Nov-16,0.40,0.47,0.40,0.40,0
21-Nov-16,-,-,-,0.40,0
18-Nov-16,0.46,0.47,0.40,0.40,0
17-Nov-16,-,-,-,0.40,0
16-Nov-16,0.41,0.41,0.40,0.40,0
15-Nov-16,0.40,0.46,0.40,0.46,0
14-Nov-16,-,-,-,0.45,0
11-Nov-16,0.45,0.45,0.45,0.45,0
10-Nov-16,0.50,0.48,0.45,0.45,0
9-Nov-16,-,-,-,0.40,0
8-Nov-16,0.40,0.40,0.40,0.40,0
7-Nov-16,0.49,0.49,0.40,0.40,0
4-Nov-16,0.47,0.47,0.47,0.47,0
3-Nov-16,0.40,0.40,0.40,0.40,0
2-Nov-16,0.44,0.44,0.38,0.40,0
1-Nov-16,0.40,0.40,0.40,0.40,0
31-Oct-16,0.40,0.40,0.40,0.40,0
28-Oct-16,-,-,-,0.40,0
27-Oct-16,0.40,0.40,0.40,0.40,0
26-Oct-16,0.40,0.40,0.40,0.40,0
25-Oct-16,0.40,0.47,0.40,0.40,0
24-Oct-16,0.47,0.49,0.40,0.49,0
21-Oct-16,-,-,-,0.40,0
20-Oct-16,0.40,0.40,0.40,0.40,0
19-Oct-16,0.44,0.47,0.44,0.47,0
18-Oct-16,0.36,0.43,0.36,0.40,0
17-Oct-16,0.37,0.40,0.37,0.40,0
14-Oct-16,0.38,0.38,0.38,0.38,0
13-Oct-16,0.38,0.38,0.38,0.38,0
12-Oct-16,0.38,0.38,0.38,0.38,0
11-Oct-16,0.43,0.43,0.38,0.38,0
10-Oct-16,0.43,0.43,0.43,0.43,0
7-Oct-16,0.44,0.44,0.38,0.38,0
6-Oct-16,0.43,0.43,0.40,0.40,0
5-Oct-16,0.43,0.43,0.37,0.40,0
