Date,Open,High,Low,Close,Volume
30-Dec-16,486.90,486.90,481.70,486.40,3471478
29-Dec-16,481.10,487.00,481.10,485.60,3001709
28-Dec-16,482.80,485.00,479.50,484.00,4565987
23-Dec-16,479.30,482.90,478.21,480.30,1561050
22-Dec-16,478.30,481.94,476.50,481.80,4222367
21-Dec-16,477.30,480.00,476.10,478.40,4078939
20-Dec-16,476.20,480.00,472.72,479.60,5310214
19-Dec-16,478.00,478.00,471.90,475.40,5248657
16-Dec-16,482.10,483.40,474.60,478.60,11374917
15-Dec-16,473.70,483.20,472.60,481.70,7696002
14-Dec-16,473.50,475.20,468.60,473.20,6246025
13-Dec-16,474.90,478.30,472.40,475.00,5921720
12-Dec-16,482.40,483.40,472.10,474.00,6606967
9-Dec-16,487.40,488.40,479.80,482.70,6018882
8-Dec-16,483.60,488.40,477.00,487.50,9206582
7-Dec-16,470.00,482.87,455.02,482.20,14469638
6-Dec-16,451.20,464.50,449.40,464.40,11680149
5-Dec-16,440.70,451.10,439.00,450.30,7844934
2-Dec-16,442.30,445.50,439.00,443.40,4414244
1-Dec-16,442.60,447.30,440.20,445.90,9146188
30-Nov-16,450.80,453.60,446.60,447.00,9119435
29-Nov-16,453.20,454.90,449.10,451.70,4133663
28-Nov-16,455.20,458.40,450.30,452.90,4320542
25-Nov-16,459.40,460.50,456.90,457.50,4152041
24-Nov-16,459.90,460.72,456.40,459.70,3788928
23-Nov-16,456.10,460.40,452.48,456.80,5098014
22-Nov-16,453.00,457.60,449.50,456.20,5856101
21-Nov-16,455.70,456.30,447.00,449.40,5256726
18-Nov-16,459.70,463.00,451.30,454.10,6255163
17-Nov-16,455.00,461.30,454.00,456.80,7772853
16-Nov-16,462.40,463.60,452.90,454.60,6737580
15-Nov-16,462.40,462.50,455.60,460.90,7036132
14-Nov-16,457.00,465.40,455.22,461.00,9689792
11-Nov-16,460.00,464.19,448.90,451.70,8794380
10-Nov-16,448.50,468.10,448.50,458.50,17272889
9-Nov-16,414.80,444.10,411.30,444.10,13373155
8-Nov-16,426.50,431.00,425.90,430.00,6049944
7-Nov-16,426.90,428.44,422.40,428.40,6174608
4-Nov-16,429.30,432.97,418.30,418.90,7246996
3-Nov-16,429.40,437.40,428.00,431.60,7861755
2-Nov-16,437.30,437.50,429.90,430.20,5098430
1-Nov-16,445.60,445.80,438.00,438.90,4771796
31-Oct-16,443.60,445.70,442.00,442.80,5769496
28-Oct-16,447.70,449.40,445.60,446.80,5109051
27-Oct-16,447.20,448.90,441.20,448.90,7116947
26-Oct-16,446.80,449.40,443.50,448.60,5942424
25-Oct-16,447.70,451.30,445.10,448.50,6105258
24-Oct-16,442.70,447.00,440.80,445.30,5665938
21-Oct-16,439.40,441.20,437.60,440.50,7574150
20-Oct-16,439.60,441.50,436.50,440.00,5187979
19-Oct-16,441.70,442.50,433.60,436.90,8427390
18-Oct-16,443.90,445.00,437.30,440.10,8254483
17-Oct-16,444.00,450.10,438.10,438.40,9177379
14-Oct-16,444.40,450.60,444.40,445.80,6050728
13-Oct-16,453.00,453.68,441.80,443.50,8706486
12-Oct-16,448.00,456.40,445.70,455.70,9042725
11-Oct-16,446.60,449.30,444.90,447.20,8197211
10-Oct-16,451.40,452.00,444.60,447.90,5277369
7-Oct-16,444.40,455.00,442.00,449.90,10514521
6-Oct-16,447.00,450.00,442.64,443.30,6171607
5-Oct-16,448.60,454.54,444.20,453.40,8264799
4-Oct-16,446.40,451.70,444.90,447.60,14971210
3-Oct-16,440.20,445.80,439.62,444.50,3772708
30-Sep-16,436.00,441.50,426.90,440.50,11336280
29-Sep-16,443.80,447.10,442.80,443.70,5262641
28-Sep-16,435.60,444.50,435.60,441.70,5769623
27-Sep-16,442.30,443.60,430.20,435.00,6960559
26-Sep-16,449.00,449.30,437.86,438.10,9236896
23-Sep-16,452.40,455.00,448.68,452.00,5326375
22-Sep-16,450.60,455.40,450.20,452.40,6934654
21-Sep-16,443.10,450.10,440.80,447.70,7793673
