Date,Open,High,Low,Close,Volume
7-Jul-15,-,-,-,79.39,0
6-Jul-15,79.15,79.64,79.15,79.39,9408248
2-Jul-15,79.27,79.40,79.07,79.35,2216010
1-Jul-15,79.02,79.22,78.85,79.18,1104384
30-Jun-15,79.37,79.37,78.68,78.81,1394053
29-Jun-15,79.51,79.63,78.89,78.92,2167472
26-Jun-15,79.43,79.61,79.29,79.59,891805
25-Jun-15,79.49,79.49,79.24,79.28,371658
24-Jun-15,79.26,79.42,79.23,79.33,358857
23-Jun-15,79.23,79.46,79.19,79.30,1340066
22-Jun-15,79.01,79.32,79.01,79.31,1460210
19-Jun-15,79.37,79.43,78.96,78.97,1292640
18-Jun-15,79.22,79.49,79.16,79.31,1585404
17-Jun-15,78.65,79.17,78.65,79.15,2312582
16-Jun-15,78.34,78.58,78.29,78.53,752694
15-Jun-15,78.39,78.49,78.29,78.43,977746
12-Jun-15,78.52,78.79,78.52,78.57,975599
11-Jun-15,78.70,78.78,78.50,78.62,1720655
10-Jun-15,78.26,78.53,78.12,78.50,736391
9-Jun-15,78.22,78.35,77.99,78.26,732761
8-Jun-15,78.31,78.49,78.14,78.19,758548
5-Jun-15,78.50,78.62,78.25,78.38,1048826
4-Jun-15,78.29,78.95,78.29,78.60,860534
3-Jun-15,78.27,78.71,78.17,78.63,2203960
2-Jun-15,77.84,78.53,77.84,78.29,1037880
1-Jun-15,77.81,78.21,77.63,78.00,1628455
29-May-15,78.20,78.20,77.47,77.52,1685231
28-May-15,78.03,78.10,77.80,77.92,622378
27-May-15,77.76,78.02,77.76,77.96,681810
26-May-15,78.33,78.33,77.70,77.79,817882
22-May-15,78.43,78.58,78.11,78.17,1252498
21-May-15,77.61,79.02,77.52,78.55,3662277
20-May-15,78.47,78.47,78.08,78.12,1120598
19-May-15,78.73,78.77,78.41,78.43,1275417
18-May-15,78.71,78.71,78.44,78.65,1785195
15-May-15,78.48,78.66,78.29,78.61,1659887
14-May-15,78.56,78.66,78.27,78.33,1010844
13-May-15,78.84,78.94,78.47,78.55,919019
12-May-15,78.79,78.98,78.68,78.89,938755
11-May-15,78.87,78.99,78.78,78.86,453017
8-May-15,78.90,79.18,78.80,78.94,314589
7-May-15,78.44,78.71,78.29,78.63,364786
6-May-15,78.27,78.50,78.11,78.34,939168
5-May-15,78.37,78.41,78.10,78.16,440312
4-May-15,78.52,78.58,78.30,78.44,208356
1-May-15,78.27,78.58,78.10,78.53,373257
30-Apr-15,78.21,78.58,78.05,78.14,1036714
29-Apr-15,79.02,79.21,78.39,78.41,863424
28-Apr-15,79.28,79.28,78.97,79.08,554083
27-Apr-15,79.40,79.53,79.17,79.21,644160
24-Apr-15,79.31,79.46,79.14,79.38,328512
23-Apr-15,79.31,79.47,79.22,79.37,600713
22-Apr-15,79.50,79.50,79.06,79.25,409439
21-Apr-15,78.92,79.34,78.92,79.34,499459
20-Apr-15,79.11,79.11,78.66,78.92,1434250
17-Apr-15,79.17,79.25,78.66,78.75,1005682
16-Apr-15,79.39,79.53,79.20,79.38,528662
15-Apr-15,79.26,79.44,79.23,79.36,679172
14-Apr-15,79.49,79.54,79.22,79.24,386347
13-Apr-15,79.76,79.84,79.47,79.51,544837
10-Apr-15,79.72,79.84,79.65,79.74,424857
9-Apr-15,80.60,80.60,79.61,79.69,495920
8-Apr-15,79.23,79.98,79.12,79.97,940700
7-Apr-15,79.12,79.46,79.05,79.13,1398774
6-Apr-15,79.10,79.43,79.04,79.14,1981330
2-Apr-15,79.43,79.43,79.13,79.24,956060
1-Apr-15,79.13,79.36,79.01,79.27,4633307
31-Mar-15,79.42,79.60,79.24,79.24,1283196
30-Mar-15,79.83,79.89,79.39,79.43,804839
27-Mar-15,79.11,79.55,79.11,79.45,716445
26-Mar-15,79.15,79.38,79.04,79.23,835994
