Date,Open,High,Low,Close,Volume
30-Dec-16,28.29,28.37,27.92,28.04,6161189
29-Dec-16,28.60,28.61,28.21,28.28,5835625
28-Dec-16,28.52,28.62,28.33,28.45,6370123
27-Dec-16,28.45,28.65,28.32,28.54,4923965
23-Dec-16,28.35,28.48,28.24,28.38,4032009
22-Dec-16,26.53,28.47,26.53,28.43,7453861
21-Dec-16,28.16,28.46,27.90,28.45,5902525
20-Dec-16,28.28,28.48,28.05,28.18,5098722
19-Dec-16,28.10,28.30,27.94,28.12,5850408
16-Dec-16,28.05,28.49,27.87,28.03,11759751
15-Dec-16,28.20,28.32,27.67,27.99,15070989
14-Dec-16,27.24,28.19,27.06,28.02,22334131
13-Dec-16,26.30,27.04,26.28,27.04,17486831
12-Dec-16,27.92,27.99,26.12,26.34,26683468
9-Dec-16,28.62,30.42,27.54,28.21,41508725
8-Dec-16,28.24,28.66,28.14,28.64,10707290
7-Dec-16,27.48,28.14,27.39,28.11,10107852
6-Dec-16,27.54,27.67,27.25,27.50,12706336
5-Dec-16,27.54,27.61,26.82,27.56,13905732
2-Dec-16,28.33,28.33,27.20,27.40,10884796
1-Dec-16,28.07,28.43,27.96,28.20,8997579
30-Nov-16,28.39,28.54,28.11,28.11,9929028
29-Nov-16,28.42,28.52,28.17,28.47,7374635
28-Nov-16,28.24,28.50,28.12,28.31,7427007
25-Nov-16,28.34,28.44,28.24,28.36,3017494
23-Nov-16,28.28,28.49,28.16,28.40,5235110
22-Nov-16,27.89,28.37,27.78,28.27,6961904
21-Nov-16,27.78,27.88,27.64,27.80,4766605
18-Nov-16,27.82,28.00,27.73,27.82,9043673
17-Nov-16,27.61,27.92,27.43,27.92,8169876
16-Nov-16,27.45,27.65,27.36,27.54,5694253
15-Nov-16,27.51,27.58,27.37,27.45,8671778
14-Nov-16,27.10,27.55,27.10,27.52,11503855
11-Nov-16,27.12,27.20,26.70,27.14,11672279
10-Nov-16,27.45,27.77,27.09,27.16,13125619
9-Nov-16,26.57,27.54,26.40,27.46,14749555
8-Nov-16,27.46,27.46,26.96,27.09,12120654
7-Nov-16,27.42,27.43,27.12,27.39,13183176
4-Nov-16,27.49,27.70,26.90,26.94,15951465
3-Nov-16,26.76,27.84,26.70,27.71,29028596
2-Nov-16,26.28,26.28,25.72,25.83,12848950
1-Nov-16,26.26,26.31,25.95,26.19,13792373
31-Oct-16,26.32,26.55,26.21,26.27,13676555
28-Oct-16,26.13,26.34,26.08,26.25,9204388
27-Oct-16,26.45,26.53,25.99,26.11,9854552
26-Oct-16,25.63,26.45,25.50,26.40,17805156
25-Oct-16,25.59,25.70,25.47,25.56,8028883
24-Oct-16,26.05,26.22,25.33,25.57,15518813
21-Oct-16,25.08,26.03,25.01,25.83,21050822
20-Oct-16,25.12,25.40,24.96,25.27,18002129
19-Oct-16,25.02,25.16,24.93,25.12,8852846
18-Oct-16,24.89,25.10,24.78,24.96,10781063
17-Oct-16,24.75,24.81,24.64,24.68,8475590
14-Oct-16,24.62,24.91,24.55,24.73,9448536
13-Oct-16,24.33,24.66,24.22,24.56,8737314
12-Oct-16,24.64,24.66,24.44,24.55,7649038
11-Oct-16,24.73,24.77,24.49,24.64,14842280
10-Oct-16,24.43,24.75,24.43,24.71,5962132
7-Oct-16,24.62,24.68,24.23,24.35,6874885
6-Oct-16,24.57,24.74,24.33,24.53,6765409
5-Oct-16,24.79,24.87,24.63,24.66,7410271
4-Oct-16,24.72,24.98,24.53,24.74,10434065
3-Oct-16,24.09,24.81,24.04,24.73,10975222
30-Sep-16,24.21,24.42,24.04,24.22,9680353
29-Sep-16,24.17,24.41,24.01,24.04,7997685
28-Sep-16,24.29,24.53,24.20,24.31,13911291
27-Sep-16,23.79,24.27,23.74,24.20,7748674
26-Sep-16,23.84,23.95,23.60,23.79,13316807
23-Sep-16,24.28,24.44,23.93,23.93,9741135
22-Sep-16,24.19,24.48,24.09,24.30,11647392
21-Sep-16,23.87,24.04,23.78,24.00,12887015
