Date,Open,High,Low,Close,Volume
30-Dec-16,4.61,4.62,4.50,4.52,4158486
29-Dec-16,4.66,4.72,4.52,4.62,2822322
28-Dec-16,4.76,4.76,4.60,4.63,4426727
27-Dec-16,4.69,4.77,4.68,4.73,2102420
23-Dec-16,4.70,4.78,4.65,4.70,2791960
22-Dec-16,4.94,4.95,4.65,4.66,5505775
21-Dec-16,4.98,5.03,4.93,4.95,3388479
20-Dec-16,4.93,5.04,4.86,5.02,4939895
19-Dec-16,4.76,4.90,4.72,4.89,6614620
16-Dec-16,4.83,4.87,4.73,4.74,15352990
15-Dec-16,4.68,4.86,4.66,4.80,10608337
14-Dec-16,4.77,4.80,4.66,4.67,10639477
13-Dec-16,4.88,4.88,4.69,4.72,18057899
12-Dec-16,5.11,5.11,4.77,4.81,11223762
9-Dec-16,5.08,5.20,5.06,5.11,12212917
8-Dec-16,5.09,5.22,5.01,5.18,17180625
7-Dec-16,4.91,5.09,4.81,5.05,14951062
6-Dec-16,4.88,4.97,4.84,4.90,13498020
5-Dec-16,4.86,4.97,4.84,4.89,4288362
2-Dec-16,4.84,4.94,4.80,4.84,4048551
1-Dec-16,4.90,4.94,4.79,4.86,6462850
30-Nov-16,4.88,4.94,4.82,4.87,8741416
29-Nov-16,4.86,4.89,4.82,4.86,5900917
28-Nov-16,4.90,4.92,4.80,4.84,7514872
25-Nov-16,4.94,4.95,4.83,4.87,2117228
23-Nov-16,4.79,4.93,4.77,4.90,5539564
22-Nov-16,4.65,4.83,4.64,4.82,6527902
21-Nov-16,4.70,4.72,4.51,4.63,8649395
18-Nov-16,4.67,4.76,4.57,4.68,5780374
17-Nov-16,4.55,4.70,4.41,4.67,11011427
16-Nov-16,4.30,4.50,4.30,4.47,6125426
15-Nov-16,4.33,4.35,4.10,4.33,7308793
14-Nov-16,4.21,4.48,4.19,4.33,12318205
11-Nov-16,4.15,4.21,4.06,4.15,17772514
10-Nov-16,3.94,4.22,3.91,4.22,22840937
9-Nov-16,3.51,3.91,3.49,3.86,10056308
8-Nov-16,3.67,3.74,3.62,3.65,6591503
7-Nov-16,3.58,3.69,3.58,3.66,5959665
4-Nov-16,3.57,3.65,3.52,3.57,5858270
3-Nov-16,3.55,3.64,3.52,3.58,9763476
2-Nov-16,3.27,3.55,3.21,3.51,19721209
1-Nov-16,3.17,3.20,3.01,3.05,9335990
31-Oct-16,3.15,3.19,3.14,3.15,4249918
28-Oct-16,3.12,3.17,3.11,3.15,3680830
27-Oct-16,3.20,3.22,3.10,3.12,4693953
26-Oct-16,3.16,3.24,3.16,3.21,3254609
25-Oct-16,3.22,3.25,3.15,3.17,6116667
24-Oct-16,3.26,3.30,3.22,3.24,6076520
21-Oct-16,3.29,3.31,3.22,3.26,8909492
20-Oct-16,3.25,3.34,3.24,3.32,6391629
19-Oct-16,3.25,3.28,3.21,3.24,7912597
18-Oct-16,3.30,3.31,3.23,3.25,8670582
17-Oct-16,3.35,3.38,3.25,3.26,8494043
14-Oct-16,3.29,3.36,3.28,3.34,7494432
13-Oct-16,3.33,3.36,3.26,3.26,8917768
12-Oct-16,3.39,3.43,3.19,3.39,19281650
11-Oct-16,3.60,3.64,3.34,3.37,14863984
10-Oct-16,3.56,3.59,3.52,3.58,5239511
7-Oct-16,3.55,3.56,3.50,3.53,4934934
6-Oct-16,3.54,3.57,3.51,3.52,4936010
5-Oct-16,3.57,3.62,3.52,3.53,14619007
4-Oct-16,3.60,3.60,3.54,3.55,5497939
3-Oct-16,3.58,3.60,3.55,3.58,9840839
30-Sep-16,3.56,3.61,3.51,3.57,7884229
29-Sep-16,3.58,3.63,3.51,3.52,7991593
28-Sep-16,3.59,3.68,3.53,3.56,7941360
27-Sep-16,3.60,3.63,3.50,3.62,9850709
26-Sep-16,3.68,3.69,3.58,3.60,5746943
23-Sep-16,3.63,3.86,3.58,3.71,12004570
22-Sep-16,3.60,3.69,3.60,3.63,5336223
21-Sep-16,3.56,3.61,3.52,3.60,6213976
20-Sep-16,3.58,3.61,3.54,3.55,6559606
19-Sep-16,3.66,3.73,3.52,3.59,7102339
16-Sep-16,3.59,3.68,3.56,3.67,15330530
15-Sep-16,3.74,3.74,3.53,3.58,6067767
