Date,Open,High,Low,Close,Volume
30-Dec-16,1608.00,1665.00,1608.00,1648.00,34776
29-Dec-16,1606.00,1649.00,1600.00,1625.00,59689
28-Dec-16,1575.00,1620.00,1553.30,1612.00,107470
23-Dec-16,1618.00,1621.00,1570.00,1570.00,52173
22-Dec-16,1575.00,1623.90,1575.00,1621.00,50296
21-Dec-16,1588.00,1611.00,1576.00,1581.00,96522
20-Dec-16,1614.00,1630.03,1580.86,1581.00,125599
19-Dec-16,1619.00,1621.90,1601.00,1608.00,54827
16-Dec-16,1594.00,1625.00,1594.00,1603.00,101573
15-Dec-16,1592.00,1620.00,1587.00,1604.00,121832
14-Dec-16,1593.00,1612.00,1591.00,1601.00,86465
13-Dec-16,1609.00,1620.70,1594.00,1613.00,62133
12-Dec-16,1606.00,1629.00,1596.00,1603.00,98873
9-Dec-16,1603.00,1612.39,1581.00,1604.00,98340
8-Dec-16,1614.00,1620.00,1594.00,1605.00,71644
7-Dec-16,1601.00,1611.40,1584.00,1602.00,128106
6-Dec-16,1579.00,1625.00,1575.00,1607.00,115756
5-Dec-16,1550.00,1583.00,1550.00,1564.00,97467
2-Dec-16,1557.00,1565.00,1550.00,1554.00,61071
1-Dec-16,1547.00,1588.00,1512.00,1569.00,124143
30-Nov-16,1551.00,1554.80,1531.00,1536.00,63659
29-Nov-16,1542.00,1558.65,1539.00,1546.00,52666
28-Nov-16,1553.00,1553.00,1522.00,1536.00,51786
25-Nov-16,1563.00,1563.00,1523.00,1542.00,32758
24-Nov-16,1554.00,1554.00,1523.00,1541.00,33183
23-Nov-16,1535.00,1552.00,1521.15,1527.00,70439
22-Nov-16,1556.00,1556.00,1516.00,1541.00,61099
21-Nov-16,1555.00,1568.30,1518.00,1526.00,78551
18-Nov-16,1547.00,1570.00,1542.00,1565.00,125613
17-Nov-16,1545.00,1555.00,1518.00,1549.00,108220
16-Nov-16,1530.00,1553.00,1520.00,1522.00,116655
15-Nov-16,1547.00,1578.60,1532.00,1532.00,133279
14-Nov-16,1523.00,1570.00,1521.00,1534.00,122769
11-Nov-16,1558.00,1614.22,1525.00,1530.00,140610
10-Nov-16,1487.00,1622.00,1487.00,1574.00,362959
9-Nov-16,1407.00,1472.94,1391.99,1447.00,177664
8-Nov-16,1430.00,1446.00,1416.78,1427.00,172397
7-Nov-16,1416.00,1445.00,1407.00,1436.00,170285
4-Nov-16,1400.00,1449.00,1382.00,1394.00,185007
3-Nov-16,1378.00,1449.00,1378.00,1407.00,127859
2-Nov-16,1386.00,1400.00,1379.00,1384.00,137140
1-Nov-16,1339.00,1424.41,1339.00,1400.00,173518
31-Oct-16,1347.00,1357.00,1335.00,1343.45,86581
28-Oct-16,1328.00,1356.00,1317.00,1343.38,110296
27-Oct-16,1343.00,1347.00,1309.00,1330.00,100164
26-Oct-16,1353.00,1353.00,1320.00,1342.00,112553
25-Oct-16,1365.00,1380.80,1343.00,1343.00,86209
24-Oct-16,1412.00,1413.00,1363.00,1363.00,127740
21-Oct-16,1430.00,1436.00,1411.00,1413.00,71225
20-Oct-16,1444.00,1444.00,1419.00,1433.00,83252
19-Oct-16,1450.00,1450.90,1403.00,1414.00,141019
